,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,passes_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,free_kicks_l_count,fouls_r_count,offsides_l_count,ball_on_side_l,outlier,score
904,100905,35,0,22,0,36,1,0,1,304,28,66,3,0,733,1,11,2,3,0,42,1,-1.0101403250250007
905,100906,29,0,45,0,48,2,0,0,268,19,68,4,1,787,0,7,2,2,0,33,1,-1.0942799526332772
906,100907,27,1,27,0,34,1,1,4,297,18,61,2,2,672,2,9,5,1,0,53,1,-1.2462099245337948
907,100908,18,0,9,1,22,1,1,23,315,24,58,0,1,582,0,12,3,3,0,58,1,-1.3493427530457025
908,100909,22,0,20,0,3,5,0,1,267,26,67,0,0,793,1,8,2,1,0,46,1,-1.062094009660744
909,100910,24,0,37,0,21,0,0,2,251,25,70,1,0,825,0,8,2,3,1,45,1,-0.9883695925097139
910,100911,36,0,7,0,21,4,1,0,204,14,79,3,0,887,0,4,5,4,2,43,1,-1.1594020390773574
911,100912,18,0,4,0,1,0,3,6,258,27,51,0,2,546,1,11,6,3,0,72,1,-1.344617789723236
912,100913,20,0,13,0,28,1,2,0,268,18,65,2,0,785,0,5,6,3,0,59,1,-1.0092147864035637
913,100914,20,1,29,1,40,0,2,10,283,27,60,1,1,646,0,9,4,2,0,58,1,-1.2725353385894023
914,100915,19,0,55,0,18,4,0,0,210,19,72,1,0,825,1,6,2,1,0,46,1,-1.1183538086875981
915,100916,26,0,46,0,50,1,2,5,253,24,67,3,0,751,0,7,2,2,0,56,1,-1.0439225321986856
916,100917,19,0,37,0,71,1,0,0,299,29,58,4,0,734,0,16,0,0,0,47,1,-1.1903040261451516
917,100918,45,0,14,0,49,0,1,0,248,17,73,2,0,991,0,5,4,6,0,41,1,-1.1244440182306232
918,100919,30,0,16,0,14,1,0,1,255,21,71,0,0,874,1,6,3,1,0,47,1,-0.9696211059005221
919,100920,15,0,41,0,49,0,1,0,290,15,62,1,0,631,1,9,1,1,1,40,1,-1.0950425998439093
920,100921,27,0,4,0,10,0,0,22,249,26,65,2,1,795,0,8,5,5,0,61,1,-1.2277518350753447
921,100922,23,0,11,0,29,0,1,0,290,20,67,0,0,881,0,11,5,5,0,48,1,-1.0036789289870547
922,100923,32,0,31,0,39,2,1,0,298,17,66,2,0,853,0,10,0,0,0,48,1,-0.9959843465920483
923,100924,25,0,2,0,17,0,1,2,201,21,69,0,0,903,0,6,5,3,0,61,1,-0.9870461366597894
924,100925,25,0,24,0,38,0,1,8,188,17,76,1,0,726,0,9,4,3,0,37,1,-1.0032328323213286
925,100926,26,0,38,0,20,3,2,7,251,31,63,1,0,705,0,14,4,2,1,55,1,-1.078179793775055
926,100927,22,0,48,0,69,3,0,8,296,15,71,5,0,859,0,5,1,1,0,38,1,-1.2333694305836302
927,100928,26,1,15,0,70,4,0,0,413,24,56,1,0,674,0,11,3,2,1,32,1,-1.309991649601504
928,100929,14,0,12,0,17,0,1,0,269,22,63,0,0,821,0,11,1,0,0,70,1,-1.030142930103762
929,100930,25,1,19,0,18,1,0,14,318,29,51,1,2,672,1,12,4,2,0,50,1,-1.225576553313035
930,100931,28,0,2,0,18,1,1,0,236,19,73,0,0,936,1,7,5,4,0,56,1,-0.991494977959566
931,100932,27,0,9,0,35,2,1,0,152,11,76,0,0,886,0,6,3,3,1,50,1,-0.9994460878256639
932,100933,33,0,4,0,29,2,1,3,203,26,72,2,0,856,0,7,3,3,1,54,1,-0.9791949341607135
933,100934,27,0,19,0,25,0,0,0,271,14,71,1,0,1040,0,4,2,1,0,52,1,-0.9917444578169885
934,100935,21,0,7,0,15,0,0,0,255,19,73,2,0,983,0,8,4,1,0,53,1,-0.9843145714818652
935,100936,26,1,12,0,3,1,0,9,252,28,63,0,1,767,0,9,5,2,0,64,1,-1.116352762737493
936,100937,41,0,10,0,11,0,1,1,199,16,76,0,0,972,1,4,1,1,0,44,1,-1.034565842282083
937,100938,31,0,40,0,31,2,1,2,330,23,69,3,0,741,0,4,2,1,0,36,1,-1.036988656527579
938,100939,22,0,20,0,13,0,3,12,414,28,58,2,0,754,0,9,1,0,0,61,1,-1.1238818895013214
939,100940,32,0,12,0,15,1,1,7,249,18,67,1,0,782,0,8,1,1,0,52,1,-0.9733653755408522
940,100941,28,0,9,0,20,0,2,0,252,21,67,0,0,787,0,8,4,4,0,52,1,-0.979567236095858
941,100942,28,0,35,0,32,1,3,0,197,16,74,2,1,811,0,5,2,3,1,56,1,-1.109839239418784
942,100943,32,0,18,0,58,1,1,0,280,26,54,0,0,666,1,13,3,5,0,39,1,-1.0764977578315844
943,100944,23,0,7,0,13,0,0,8,396,42,47,1,1,546,2,20,2,2,0,63,1,-1.3419848484831751
944,100945,26,0,5,0,11,2,1,0,225,20,67,2,0,767,0,9,5,5,1,41,1,-1.0054217206059093
945,100946,20,0,13,0,21,1,1,4,313,22,51,0,1,612,0,10,3,2,1,47,1,-1.033318871786633
946,100947,19,0,20,0,37,1,0,0,196,14,70,2,0,670,0,5,4,2,0,49,1,-0.989908778478947
947,100948,20,0,11,0,27,2,2,0,257,20,62,3,1,708,0,7,1,1,0,59,1,-1.0328668742932572
948,100949,25,0,13,0,12,1,1,9,239,17,68,0,0,871,0,10,4,2,1,63,1,-0.9915007777444862
949,100950,24,0,11,1,16,1,3,0,259,21,65,0,0,641,1,11,3,2,0,51,1,-1.214793015815235
950,100951,24,0,10,0,19,0,0,3,327,24,61,1,0,832,1,12,3,1,0,66,1,-1.0013309608871437
951,100952,18,0,27,0,91,3,0,1,309,17,67,4,0,813,1,11,2,2,1,42,1,-1.1834416998582689
952,100953,41,0,16,0,39,1,1,4,198,19,72,1,0,855,1,5,7,7,0,45,1,-1.1055343316698423
