,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,passes_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,free_kicks_l_count,fouls_r_count,offsides_l_count,ball_on_side_l,score,outlier
584,100585,37,0,1,0,16,1,1,2,233,16,68,1,1,779,0,7,1,1,0,49,0.13507279261494926,1
585,100586,28,0,17,0,31,1,3,3,238,22,69,0,0,734,1,10,4,2,2,47,0.11893276876226788,1
586,100587,23,0,6,0,44,0,2,0,288,17,69,1,0,861,0,6,2,2,0,42,0.16314924615610127,1
587,100588,20,0,0,0,10,2,0,6,225,20,69,0,1,746,0,8,2,2,0,64,0.13354166970780507,1
588,100589,35,0,9,0,19,4,1,1,265,18,71,1,0,800,1,4,5,3,0,47,0.1428784285514098,1
589,100590,25,0,9,0,11,1,2,6,203,21,71,2,0,922,0,7,2,3,0,66,0.15734699938206742,1
590,100591,33,0,30,0,16,2,1,0,201,13,72,0,1,704,2,7,2,2,0,38,0.10669779685136083,1
591,100592,28,1,12,0,13,1,0,4,180,19,78,3,0,1051,0,2,6,4,1,47,0.0421157376884016,1
592,100593,38,0,11,0,20,1,1,2,246,24,71,1,0,892,0,5,3,3,0,49,0.1714514176310099,1
593,100594,25,0,5,0,14,1,1,0,238,22,70,3,0,946,1,10,3,4,0,48,0.15971223526720174,1
594,100595,26,0,42,0,13,2,2,1,216,24,67,0,0,763,0,11,1,1,0,45,0.13469997566021785,1
595,100596,24,1,4,0,48,2,1,7,303,27,58,3,0,752,0,10,4,1,1,54,0.10614829893532446,1
596,100597,23,0,21,0,25,1,1,14,261,20,65,0,1,800,1,8,2,2,0,46,0.15141765656509393,1
597,100598,34,0,35,0,42,2,0,3,233,16,75,2,0,893,0,6,1,1,2,41,0.10657440708594063,1
598,100599,32,0,30,0,36,5,1,0,194,20,80,2,0,782,0,7,2,1,1,34,0.11354416466089262,1
599,100600,25,0,6,0,2,0,3,0,241,16,67,2,0,873,0,7,3,3,0,71,0.143557297871157,1
600,100601,29,0,16,0,43,4,2,3,205,15,70,2,0,717,0,6,4,5,1,29,0.13075365614951684,1
601,100602,31,0,29,0,14,5,0,2,260,19,65,1,0,583,0,9,1,1,0,33,0.11933798617921271,1
602,100603,39,0,19,0,22,1,1,16,287,19,67,1,0,891,0,7,3,2,0,70,0.14963493292975855,1
603,100604,31,0,33,0,54,2,1,9,188,15,77,0,1,902,0,4,3,2,1,50,0.10728024999603086,1
604,100605,33,0,4,0,24,1,2,0,189,12,71,1,0,879,0,9,7,7,0,57,0.10261769679202631,1
605,100606,23,0,5,0,40,2,1,4,257,23,65,1,0,813,3,8,2,1,0,56,0.1337751244090476,1
606,100607,27,0,20,0,37,2,1,3,341,31,52,1,1,679,1,10,2,1,0,45,0.12543783918460621,1
607,100608,28,0,32,0,37,4,0,0,152,12,78,2,0,745,0,7,1,1,0,51,0.13133700418926808,1
608,100609,25,0,7,0,28,0,2,0,250,10,68,1,0,715,0,8,2,2,0,48,0.1699332270882699,1
609,100610,30,0,38,0,32,3,0,0,187,14,78,0,0,849,0,4,2,2,0,35,0.1230291005324895,1
610,100611,17,0,3,0,3,5,1,3,216,17,65,0,0,607,0,11,3,3,2,49,0.07867018009713045,1
611,100612,20,0,14,0,40,0,3,0,294,27,61,0,0,871,0,8,0,0,0,46,0.09997020194129402,1
612,100613,22,0,16,0,15,2,1,2,365,21,57,1,0,622,1,9,1,1,3,55,0.09487245711970643,1
613,100614,32,2,13,1,27,2,0,6,243,14,72,3,1,847,0,4,5,2,1,53,0.010508995029701707,1
614,100615,30,0,5,0,0,2,0,0,179,23,76,0,0,964,0,10,5,2,1,63,0.1051649560197333,1
615,100616,17,0,13,0,39,1,2,2,267,29,56,2,0,629,2,13,3,2,0,52,0.10089648881390278,1
616,100617,15,0,8,0,25,1,1,0,276,23,60,1,0,731,0,11,0,0,1,63,0.12148116977886508,1
617,100618,33,0,15,0,8,2,0,10,151,12,77,1,0,917,0,6,1,0,0,50,0.1242113380986879,1
618,100619,28,0,9,0,17,1,2,4,261,18,66,0,1,666,0,7,2,1,0,52,0.16257787346050984,1
619,100620,27,0,17,0,36,1,0,0,250,21,65,4,0,677,0,9,5,3,0,42,0.1457107524256166,1
620,100621,28,0,13,0,26,3,0,2,215,18,71,2,0,867,1,8,2,2,1,47,0.16534859881524044,1
621,100622,24,0,16,1,4,0,0,2,159,18,77,0,1,961,0,5,2,2,0,73,0.04580294557213305,1
622,100623,37,0,6,0,22,1,1,3,193,24,71,0,0,779,0,9,2,0,1,56,0.13454178046158477,1
623,100624,17,0,0,0,6,0,0,5,216,20,65,1,0,899,0,10,6,3,0,58,0.12229931955478718,1
624,100625,43,0,6,0,21,2,0,0,188,18,70,0,0,820,1,6,4,4,0,58,0.138681722153909,1
625,100626,28,0,15,0,52,2,0,3,234,15,72,3,0,899,0,8,4,2,0,38,0.15313899913583157,1
626,100627,24,0,6,0,6,1,1,5,234,23,72,2,2,839,0,8,1,2,1,49,0.08952086458065911,1
627,100628,31,0,20,0,34,1,2,0,192,18,76,2,0,978,0,7,0,0,0,44,0.12423025311005081,1
628,100629,19,0,5,0,33,1,2,2,347,23,60,1,0,648,1,11,2,1,1,46,0.14383000088444658,1
629,100630,24,0,15,0,12,0,1,0,293,18,67,1,0,796,2,6,1,0,0,46,0.13413610020841676,1
630,100631,24,0,12,0,13,3,0,0,211,12,75,0,0,881,0,6,4,3,1,57,0.1406214752077385,1
631,100632,25,0,16,0,29,2,0,0,172,17,77,1,0,1019,0,4,3,2,0,51,0.1451601449945613,1
632,100633,34,0,16,0,38,0,0,0,264,33,69,4,0,799,0,8,2,2,0,52,0.1446964139351657,1
633,100634,30,0,29,0,18,1,0,8,268,19,62,1,0,752,0,4,4,5,0,47,0.16111205492987735,1
634,100635,14,0,32,0,52,0,0,0,322,18,61,2,0,807,0,10,1,1,0,42,0.14843516755202835,1
635,100636,18,0,3,0,7,1,1,5,343,28,61,1,0,727,1,13,0,0,1,55,0.09841759182783505,1
636,100637,16,0,6,0,14,2,2,10,240,24,62,0,2,789,0,7,2,2,1,63,0.07938135311588346,1
637,100638,27,0,19,0,21,1,1,14,179,17,68,0,0,791,1,7,5,4,0,53,0.14307087496784582,1
638,100639,20,0,12,0,28,0,3,4,384,20,54,2,0,571,1,13,0,1,0,49,0.09198839851698637,1
639,100640,25,0,30,0,57,1,0,0,326,19,73,2,0,966,0,7,3,3,0,48,0.14533980427953352,1
640,100641,40,0,8,0,25,1,1,0,212,17,73,2,0,834,1,5,4,4,0,36,0.13296852047139907,1
641,100642,19,0,1,0,34,1,0,1,334,23,61,1,0,633,0,11,1,0,0,61,0.13909771164262652,1
642,100643,20,0,17,0,84,2,0,5,306,19,64,5,0,768,0,6,3,3,0,48,0.10986202689344055,1
643,100644,31,0,34,0,20,3,0,10,240,18,66,1,0,689,0,7,2,3,0,54,0.16337568290441662,1
644,100645,13,0,25,0,62,0,0,1,271,24,60,1,0,725,2,12,1,1,0,46,0.10532881550244699,1
645,100646,31,0,20,0,14,1,1,0,271,29,66,1,0,791,2,10,1,1,0,49,0.1452481002155096,1
646,100647,42,0,2,0,25,2,0,7,171,22,77,0,0,1032,0,7,2,2,0,59,0.09201220237325264,1
647,100648,24,0,9,0,24,2,1,0,161,14,77,2,0,925,0,5,3,3,0,45,0.1635936998923046,1
648,100649,16,0,13,0,18,1,3,9,329,24,57,1,1,645,0,9,0,0,0,62,0.09113174320139622,1
649,100650,21,0,12,0,4,0,2,3,231,16,66,1,1,693,1,10,2,1,0,67,0.10945845119906872,1
650,100651,29,0,2,0,8,1,0,0,186,17,79,0,0,970,1,6,2,2,0,50,0.12591438244996545,1
651,100652,23,0,9,1,16,0,4,10,330,31,58,0,0,635,0,12,2,2,0,67,0.06018285995750361,1
652,100653,22,0,3,0,42,2,0,0,211,13,71,1,0,726,0,8,1,1,2,42,0.11712889994548142,1
653,100654,24,0,25,0,43,3,0,0,205,23,78,1,0,753,1,8,5,5,0,37,0.11382534719173959,1
654,100655,33,0,12,1,14,1,1,3,302,17,67,2,0,697,0,6,5,4,0,46,0.1203610822316053,1
655,100656,32,0,4,0,18,1,1,4,212,17,74,1,0,767,0,7,2,0,0,40,0.1542370079606286,1
656,100657,31,0,45,0,53,2,0,0,247,14,73,1,0,817,0,7,1,2,1,46,0.13729162576207865,1
657,100658,24,0,30,0,28,0,1,7,284,27,61,1,0,777,2,9,5,3,0,53,0.13276851326135386,1
658,100659,22,0,11,0,31,0,1,5,335,29,54,1,1,711,0,11,3,2,0,46,0.1361754409427371,1
659,100660,36,0,21,0,34,2,2,9,306,29,60,1,1,748,0,10,4,3,0,59,0.12212108759789053,1
660,100661,22,1,12,0,20,0,1,12,190,16,71,1,0,924,0,5,5,3,0,55,0.09995446864152813,1
661,100662,17,0,0,0,0,0,1,13,239,22,70,0,1,933,0,5,2,2,0,81,0.07679978729355696,1
662,100663,40,0,11,1,17,2,0,8,349,29,60,2,0,730,1,10,6,3,0,52,0.07599579325565309,1
663,100664,19,0,20,0,34,0,2,1,206,28,66,1,0,908,0,10,1,2,0,39,0.13818990832007944,1
664,100665,27,1,22,0,7,2,1,12,356,28,52,0,0,582,0,12,4,2,0,67,0.041513932143542265,1
665,100666,29,0,20,1,30,2,1,3,264,16,68,1,0,783,0,7,4,3,1,55,0.13749560954514228,1
666,100667,19,0,31,0,64,3,1,0,255,21,64,3,1,638,1,12,3,2,1,44,0.08626635985015613,1
667,100668,36,1,10,0,14,0,2,1,211,21,64,1,0,742,1,9,3,1,0,59,0.11293516401808557,1
668,100669,26,0,19,0,50,1,2,3,311,23,53,1,0,719,2,10,2,2,0,66,0.1026376234361801,1
669,100670,29,0,16,0,21,1,1,0,213,22,73,1,0,884,2,8,1,2,0,50,0.14611269296153506,1
670,100671,32,0,36,0,24,0,0,6,322,28,63,3,0,798,2,12,1,0,0,37,0.07324041441288742,1
671,100672,18,1,41,0,80,1,0,6,348,31,56,6,1,712,1,12,1,0,1,46,-0.018770647427176268,-1
672,100673,26,1,12,0,46,0,0,8,269,19,63,2,0,790,1,10,5,1,0,44,0.11932974559382176,1
673,100674,25,1,32,0,29,2,1,2,219,17,74,0,0,723,1,8,4,3,0,44,0.11743373685587111,1
674,100675,23,0,3,0,39,0,0,0,255,21,68,1,0,857,0,11,3,3,1,54,0.15802373803561665,1
675,100676,28,0,24,0,45,2,1,8,328,22,65,1,0,877,0,6,1,1,0,40,0.1595743228959795,1
676,100677,28,0,11,0,23,1,1,0,209,16,74,2,0,827,0,7,1,1,0,55,0.17588714448453818,1
677,100678,27,1,26,0,39,2,0,2,258,13,74,1,0,968,0,5,5,5,1,45,0.07473346732699848,1
678,100679,38,0,9,0,8,1,0,12,245,19,66,1,0,802,2,9,4,4,2,62,0.0754073887802918,1
679,100680,20,0,1,0,10,0,2,3,390,43,41,0,0,523,0,13,2,2,0,54,0.050426670212237124,1
680,100681,33,0,20,0,22,0,5,6,309,26,64,1,0,668,0,11,1,1,0,59,0.10697291752484794,1
681,100682,30,0,10,0,37,3,0,0,216,13,70,1,0,719,0,9,2,0,1,47,0.16121355080368682,1
682,100683,20,0,22,0,26,4,0,16,189,13,69,1,1,894,0,2,2,2,0,55,0.0828702542464203,1
683,100684,24,0,9,0,13,2,0,0,201,22,74,1,0,793,0,6,4,4,0,49,0.17486483359561866,1
684,100685,29,0,5,0,23,0,1,0,304,24,65,0,0,704,1,10,4,6,0,50,0.13975670618531494,1
685,100686,32,1,25,0,30,3,0,5,222,20,68,1,0,844,0,7,2,1,0,54,0.13943664420070517,1
686,100687,26,0,10,0,30,1,1,3,220,18,74,2,0,862,0,3,4,4,0,38,0.1479679653555725,1
687,100688,35,0,18,0,67,2,1,2,236,22,73,0,0,743,0,9,5,4,1,49,0.1277260240798846,1
688,100689,28,1,11,0,23,1,1,4,257,20,68,2,0,793,0,8,5,3,1,52,0.13290205241850578,1
689,100690,22,0,3,0,11,1,1,0,212,21,68,0,0,881,0,9,1,1,0,56,0.17203120208186579,1
690,100691,38,0,22,0,22,5,0,2,225,16,75,2,0,779,1,4,2,2,0,47,0.12188125577171116,1
691,100692,30,1,6,0,26,1,0,11,254,18,60,2,0,818,0,11,3,0,0,47,0.11539714882207891,1
692,100693,26,0,6,0,18,1,1,5,233,27,59,0,0,604,0,16,2,2,1,57,0.11663436992000553,1
693,100694,38,0,18,0,15,3,0,7,245,19,65,1,0,822,2,9,4,2,0,60,0.13452708608507957,1
694,100695,34,0,9,0,25,1,2,6,323,26,59,1,1,635,0,8,5,5,0,49,0.12064164814140749,1
695,100696,25,0,3,0,6,1,2,10,265,17,67,1,0,756,0,11,2,0,2,59,0.10852778560619686,1
696,100697,20,0,25,0,20,1,3,3,259,25,64,1,0,834,1,7,0,0,0,55,0.12387379692181061,1
697,100698,34,0,14,0,27,1,0,0,173,19,76,0,0,1008,1,10,1,1,0,51,0.11310725709188968,1
698,100699,21,0,37,0,8,1,3,16,333,43,52,2,0,625,0,15,2,2,1,53,0.05013578657982665,1
699,100700,39,0,15,0,7,0,2,1,238,20,79,0,0,850,0,6,8,5,1,51,0.07956783069121898,1
700,100701,23,0,11,0,48,1,1,4,221,29,67,2,0,819,0,9,2,2,0,58,0.17663182104128056,1
701,100702,33,0,13,0,28,0,0,3,257,21,68,2,0,794,1,6,2,0,0,50,0.1578960644218737,1
702,100703,21,0,5,0,27,1,2,6,287,20,66,1,0,746,0,6,3,2,1,64,0.1563046122026283,1
703,100704,23,0,38,0,40,4,1,12,393,22,53,2,1,582,0,16,1,0,2,40,-0.009653919685897017,-1
704,100705,45,0,9,0,13,2,1,0,199,17,76,3,0,830,0,1,4,3,0,42,0.12527766030242704,1
705,100706,25,0,8,0,36,3,0,4,243,16,71,1,0,819,1,6,5,6,1,55,0.1278843313480546,1
706,100707,23,0,0,0,4,0,0,10,313,28,65,1,0,831,0,10,3,0,0,70,0.12919927312661694,1
707,100708,23,0,28,0,24,1,1,5,335,36,52,1,1,595,0,12,1,1,0,52,0.09934951355306254,1
708,100709,20,0,7,0,6,1,1,3,175,16,69,2,0,729,1,7,3,2,0,48,0.16812390832938406,1
709,100710,20,1,6,0,17,0,3,11,291,29,62,1,1,718,1,12,2,0,0,62,0.05138790526996884,1
710,100711,25,0,55,0,39,0,2,4,266,20,63,3,0,743,2,13,1,0,0,49,0.0636686625653824,1
711,100712,23,0,16,0,27,2,2,7,264,20,61,2,1,703,2,10,1,1,2,42,0.0735742765321501,1
712,100713,26,0,19,0,24,3,1,1,233,20,66,0,0,681,0,8,3,2,1,40,0.17289850243731913,1
713,100714,19,0,13,0,56,1,0,0,338,26,63,2,0,740,0,9,2,2,0,45,0.17661678722979507,1
714,100715,28,0,3,0,19,2,0,9,266,25,69,2,0,792,0,9,0,1,1,58,0.14800704335955817,1
715,100716,20,0,28,0,19,0,1,7,266,23,64,1,0,696,0,11,1,1,0,50,0.16674540162393653,1
716,100717,21,0,6,0,21,2,2,20,369,27,56,1,0,702,0,11,0,0,0,65,0.0808064693297299,1
717,100718,30,0,33,0,33,2,0,0,305,21,64,3,0,797,1,8,0,3,0,39,0.13473730523507693,1
718,100719,29,0,4,0,13,3,0,8,241,28,58,1,0,698,0,8,5,5,1,48,0.13057916100133027,1
