id,tackles_r_mean,tackles_r_skew,tackles_r_kurtosis,tackles_r_var,tackles_r_median,tackles_r_count,offsides_r_mean,offsides_r_skew,offsides_r_kurtosis,offsides_r_var,offsides_r_median,offsides_r_count,total_shots_l,yellow_cards_r_mean,yellow_cards_r_skew,yellow_cards_r_kurtosis,yellow_cards_r_var,yellow_cards_r_median,yellow_cards_r_count,fouls_l_mean,fouls_l_skew,fouls_l_kurtosis,fouls_l_var,fouls_l_median,fouls_l_count,shots_on_target_l,corners_l_mean,corners_l_skew,corners_l_kurtosis,corners_l_var,corners_l_median,corners_l_count,total_shots_r,goals_r_mean,goals_r_skew,goals_r_kurtosis,goals_r_var,goals_r_median,goals_r_count,shots_on_target_r,passes_r,possession_r,pass_chains_r_count,tackles_l_mean,tackles_l_skew,tackles_l_kurtosis,tackles_l_var,tackles_l_median,tackles_l_count,possession_l,goals_l_mean,goals_l_skew,goals_l_kurtosis,goals_l_var,goals_l_median,goals_l_count,corners_r_mean,corners_r_skew,corners_r_kurtosis,corners_r_var,corners_r_median,corners_r_count,ball_on_side_r,red_cards_r_mean,red_cards_r_skew,red_cards_r_kurtosis,red_cards_r_var,red_cards_r_median,red_cards_r_count,red_cards_l_mean,red_cards_l_skew,red_cards_l_kurtosis,red_cards_l_var,red_cards_l_median,red_cards_l_count,passes_l,yellow_cards_l_mean,yellow_cards_l_skew,yellow_cards_l_kurtosis,yellow_cards_l_var,yellow_cards_l_median,yellow_cards_l_count,free_kicks_r_mean,free_kicks_r_skew,free_kicks_r_kurtosis,free_kicks_r_var,free_kicks_r_median,free_kicks_r_count,free_kicks_l_mean,free_kicks_l_skew,free_kicks_l_kurtosis,free_kicks_l_var,free_kicks_l_median,free_kicks_l_count,fouls_r_mean,fouls_r_skew,fouls_r_kurtosis,fouls_r_var,fouls_r_median,fouls_r_count,offsides_l_mean,offsides_l_skew,offsides_l_kurtosis,offsides_l_var,offsides_l_median,offsides_l_count,ball_on_side_l,pass_chains_l_count
100033,3277.7586206896553,-0.030216262503455167,-1.3844324735958633,3727690.5969084417,3177.0,29,0.0,0.0,-3.0,0.0,0.0,0,5,0.0,0.0,-3.0,0.0,0.0,0,3865.1666666666665,-0.37061246698422984,-1.6192992417317607,1675295.805555556,4308.5,6,6,5625.0,0.0,-2.0,20449.0,5625.0,2,0,2338.0,0.0,-3.0,0.0,2338.0,1,0,184,29,0,3581.35,-0.6264615793395675,-0.8647432902468131,2700151.0275,3847.5,20,71,3258.0,0.0,-3.0,0.0,3258.0,1,0.0,0.0,-3.0,0.0,0.0,0,51,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,720,4875.0,0.0,-3.0,0.0,4875.0,1,3563.8571428571427,-0.07586133595289092,-1.7748097389120092,1980692.4081632656,3742.0,7,1520.0,0.973208503551761,-0.8010159803877595,2103181.5,944.5,4,944.5,0.0,-2.0,52670.25,944.5,2,1756.0,0.0,-3.0,0.0,1756.0,1,49,0
100035,2589.535714285714,0.4365252553653129,-1.109014594216293,2964699.1772959186,2111.5,28,0.0,0.0,-3.0,0.0,0.0,0,40,0.0,0.0,-3.0,0.0,0.0,0,3341.6,-0.20550469223793855,-1.0307732487563797,3529878.04,3383.0,10,59,1241.5,0.0,-2.0,188790.25,1241.5,2,0,0.0,0.0,-3.0,0.0,0.0,0,0,286,41,0,2910.714285714286,0.1413864205999311,-1.42207278765161,4011928.2040816327,2955.0,28,59,0.0,0.0,-3.0,0.0,0.0,0,1364.0,0.0,-3.0,0.0,1364.0,1,54,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,731,0.0,0.0,-3.0,0.0,0.0,0,3341.6,-0.20550469223793855,-1.0307732487563797,3529878.04,3383.0,10,2771.0,0.6162650554568151,-1.4999999999999998,4088722.6666666665,1783.0,3,2771.0,0.6162650554568151,-1.4999999999999998,4088722.6666666665,1783.0,3,0.0,0.0,-3.0,0.0,0.0,0,46,0
100036,3511.5151515151515,-0.4411426771185188,-0.9651437406608325,2683364.189164371,3660.0,33,0.0,0.0,-3.0,0.0,0.0,0,13,0.0,0.0,-3.0,0.0,0.0,0,2988.777777777778,0.2618011622940357,-1.1617137155178852,2406559.7283950616,2375.0,9,19,2211.5,0.0,-2.0,1047552.25,2211.5,2,0,3329.0,0.0,-2.0,708964.0,3329.0,2,0,248,35,0,3128.0,-0.015230022580478583,-1.1668558426488669,2180753.5789473685,3112.0,19,65,4754.333333333333,0.48236405730672305,-1.4999999999999993,654538.8888888889,4471.0,3,0.0,0.0,-3.0,0.0,0.0,0,52,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,729,0.0,0.0,-3.0,0.0,0.0,0,3023.6,0.20438610505463933,-1.0002163686485253,2176817.04,2856.0,10,1054.5,0.0,-2.0,65280.25,1054.5,2,1310.0,0.0,-3.0,0.0,1310.0,1,3336.0,0.0,-3.0,0.0,3336.0,1,48,0
100037,2530.978723404255,0.1920728196759442,-0.9462603917495422,2296315.68039837,2944.0,47,0.0,0.0,-3.0,0.0,0.0,0,3,0.0,0.0,-3.0,0.0,0.0,0,3497.375,0.24348671172378708,-1.4125185810277248,569659.484375,3418.5,8,14,4653.5,0.0,-2.0,115260.25,4653.5,2,0,5753.0,0.0,-3.0,0.0,5753.0,1,6,225,32,0,3176.6296296296296,0.23485397724112725,-1.163800559957433,2554894.23319616,2779.0,27,68,4442.0,0.0,-3.0,0.0,4442.0,1,0.0,0.0,-3.0,0.0,0.0,0,45,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,862,0.0,0.0,-3.0,0.0,0.0,0,3541.1111111111113,0.08307757141606877,-1.3496594623016591,521666.76543209876,3484.0,9,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,55,0
100038,2218.214285714286,0.7018228074146122,-0.4232112634633407,2138676.8826530613,1940.0,14,0.0,0.0,-3.0,0.0,0.0,0,29,0.0,0.0,-3.0,0.0,0.0,0,2698.0,0.11952781564519215,-1.5860311419258344,2796199.6,1910.0,5,20,3185.0,-0.9184392196222603,-0.8745434543192792,929059.0,3568.0,4,0,624.0,0.0,-3.0,0.0,624.0,1,0,245,31,0,3027.3076923076924,0.14749359972302098,-1.507411930690884,2596249.1360946745,2302.0,13,69,3126.0,0.012561956354476293,-1.5888491199875505,4198381.6,2993.0,5,0.0,0.0,-3.0,0.0,0.0,0,57,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,852,0.0,0.0,-3.0,0.0,0.0,0,3131.5,-0.15365692535547965,-1.6498565370031928,2964526.25,3206.5,8,2828.0,0.0,-3.0,0.0,2828.0,1,2828.0,0.0,-3.0,0.0,2828.0,1,1679.0,0.0,-3.0,0.0,1679.0,1,43,0
100039,2575.1428571428573,0.5046779556944304,-0.9578652367843197,2396068.9795918367,2232.0,21,0.0,0.0,-3.0,0.0,0.0,0,12,0.0,0.0,-3.0,0.0,0.0,0,4369.0,-0.5152455352751006,-1.132871180648843,1746646.2857142857,4946.0,7,32,0.0,0.0,-3.0,0.0,0.0,0,0,0.0,0.0,-3.0,0.0,0.0,0,17,308,34,0,3581.0333333333333,-0.26480377238587116,-1.325999380072565,3092087.2322222223,3673.0,30,66,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,36,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,641,3300.0,0.0,-3.0,0.0,3300.0,1,3942.125,-0.500643269275902,-1.1081940253825624,2803871.359375,4250.5,8,4739.333333333333,-0.5934414706490987,-1.5000000000000004,1698454.2222222222,5340.0,3,2930.0,0.0,-3.0,0.0,2930.0,1,0.0,0.0,-3.0,0.0,0.0,0,64,0
100040,3461.8260869565215,-0.39597164412036034,-0.8172650338037184,2350480.7523629484,3448.0,23,0.0,0.0,-3.0,0.0,0.0,0,23,0.0,0.0,-3.0,0.0,0.0,0,3477.8333333333335,-0.03175942728415884,-1.2451182731242287,2579104.1388888895,3704.0,6,36,5206.0,0.0,-2.0,162409.0,5206.0,2,0,0.0,0.0,-3.0,0.0,0.0,0,1,279,33,0,3359.5263157894738,0.05294252781124262,-1.1701694320859564,2419363.091412742,3277.0,19,67,2801.0,-0.02771917456487186,-1.7946513064600123,2147125.0,2831.0,4,0.0,0.0,-3.0,0.0,0.0,0,55,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,908,0.0,0.0,-3.0,0.0,0.0,0,3231.2,0.3669629657387792,-0.6131557601276167,1797863.9600000002,3235.5,10,1205.5,0.0,-2.0,13806.25,1205.5,2,1323.0,0.0,-3.0,0.0,1323.0,1,0.0,0.0,-3.0,0.0,0.0,0,45,0
100041,1982.9166666666667,0.42754103835704177,-1.2187293029292514,2507788.659722222,1758.0,24,0.0,0.0,-3.0,0.0,0.0,0,9,0.0,0.0,-3.0,0.0,0.0,0,3311.125,-0.21747406093482347,-1.3484814111480892,2223423.609375,3734.5,8,14,2923.0,0.0,-3.0,0.0,2923.0,1,0,3930.5,0.0,-2.0,398792.25,3930.5,2,1,227,39,0,3104.3030303030305,-0.22824695336251424,-1.2288326188484981,2488164.453627181,3189.0,33,61,4279.0,0.0,-2.0,550564.0,4279.0,2,0.0,0.0,-3.0,0.0,0.0,0,37,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,838,0.0,0.0,-3.0,0.0,0.0,0,3156.8571428571427,0.02432330722946943,-1.3975730259506753,2350666.9795918367,3189.0,7,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,63,0
100042,3440.535714285714,-0.4866168488927057,-0.57541775623391,2240213.3915816327,3886.0,28,0.0,0.0,-3.0,0.0,0.0,0,13,0.0,0.0,-3.0,0.0,0.0,0,3001.0,-0.038742244904898415,-1.7456196133821953,4167904.0,3111.0,5,15,3740.0,0.0,-3.0,0.0,3740.0,1,0,3178.0,0.0,-2.0,5166529.0,3178.0,2,3,268,27,0,3263.8333333333335,-0.2903647757074349,-1.0877805608501274,2373769.472222222,3482.0,18,73,5126.0,0.0,-3.0,0.0,5126.0,1,0.0,0.0,-3.0,0.0,0.0,0,49,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,889,0.0,0.0,-3.0,0.0,0.0,0,3001.0,-0.038742244904898415,-1.7456196133821953,4167904.0,3111.0,5,4142.5,0.0,-2.0,26082.25,4142.5,2,3981.0,0.0,-3.0,0.0,3981.0,1,0.0,0.0,-3.0,0.0,0.0,0,51,0
100043,2902.2272727272725,0.22343268496124072,-1.247595202596717,2360004.630165289,2595.5,22,0.0,0.0,-3.0,0.0,0.0,0,14,0.0,0.0,-3.0,0.0,0.0,0,2926.0,-0.08894405446412412,-1.4871961101929816,2158330.5714285714,3352.0,7,28,858.5,0.0,-2.0,269880.25,858.5,2,0,0.0,0.0,-3.0,0.0,0.0,0,7,263,38,0,2994.84,-0.051933209297011375,-1.327211661300151,2762599.2544,3465.0,25,62,3894.0,0.0,-2.0,2452356.0,3894.0,2,0.0,0.0,-3.0,0.0,0.0,0,55,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,733,5047.0,0.0,-3.0,0.0,5047.0,1,2926.0,-0.08894405446412412,-1.4871961101929816,2158330.5714285714,3352.0,7,3708.0,0.5937221371184574,-1.5,1124064.6666666667,3219.0,3,2972.0,0.0,-2.0,61009.0,2972.0,2,0.0,0.0,-3.0,0.0,0.0,0,45,0
100044,2945.1739130434785,0.14162595111598517,-1.4341704524556684,3704943.100189036,2587.0,23,4284.0,0.0,-3.0,0.0,4284.0,1,28,0.0,0.0,-3.0,0.0,0.0,0,3094.714285714286,-0.06772190226104102,-0.7614647726654948,501452.48979591846,2984.0,7,24,1335.5,0.0,-2.0,7140.25,1335.5,2,0,0.0,0.0,-3.0,0.0,0.0,0,11,297,38,0,3218.6363636363635,0.12807052847273215,-0.8816236670257886,2142717.867768595,2983.5,22,62,1632.0,0.0,-3.0,0.0,1632.0,1,0.0,0.0,-3.0,0.0,0.0,0,49,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,739,2619.0,0.0,-3.0,0.0,2619.0,1,2791.1111111111113,-1.093848890405867,0.64593095487561,1182757.4320987654,2984.0,9,2319.0,0.2176802776042703,-1.4999999999999998,2314160.6666666665,2095.0,3,1336.5,0.0,-2.0,575322.25,1336.5,2,0.0,0.0,-3.0,0.0,0.0,0,51,0
100045,2463.6388888888887,0.4661884642907596,-0.7348018637478506,2424869.5084876544,2188.0,36,4932.0,0.0,-3.0,0.0,4932.0,1,4,2900.0,0.0,-3.0,0.0,2900.0,1,4847.25,0.8424579243058882,-0.9388931283434592,145191.6875,4710.5,4,37,918.0,0.0,-3.0,0.0,918.0,1,0,4181.0,-0.6311154742468585,-1.4999999999999998,2750604.6666666665,5024.0,3,9,199,24,0,3932.8333333333335,-0.8250764889277896,-0.3740816720032183,2176577.3611111105,4538.0,18,76,1180.5,0.0,-2.0,8190.25,1180.5,2,0.0,0.0,-3.0,0.0,0.0,0,49,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,985,0.0,0.0,-3.0,0.0,0.0,0,4847.25,0.8424579243058882,-0.9388931283434592,145191.6875,4710.5,4,4353.666666666667,-0.6636897888703572,-1.4999999999999991,1071274.8888888888,4932.0,3,3763.3333333333335,0.6739693574499953,-1.5000000000000007,1085442.888888889,3161.0,3,0.0,0.0,-3.0,0.0,0.0,0,51,0
100046,2802.0476190476193,0.09159011220114455,-1.4624010909543734,3107216.5215419503,2810.0,21,0.0,0.0,-3.0,0.0,0.0,0,22,0.0,0.0,-3.0,0.0,0.0,0,3215.8333333333335,-0.28604185601355286,-1.518949335115943,3252921.1388888895,3715.0,6,70,1722.0,0.0,-2.0,60516.0,1722.0,2,0,0.0,0.0,-3.0,0.0,0.0,0,0,238,32,0,3316.190476190476,-0.15019814015425287,-1.5854647677135043,3607596.535147392,4311.0,21,68,4302.0,0.0,-3.0,0.0,4302.0,1,0.0,0.0,-3.0,0.0,0.0,0,62,0.0,0.0,-3.0,0.0,0.0,0,0.0,0.0,-3.0,0.0,0.0,0,809,0.0,0.0,-3.0,0.0,0.0,0,2914.222222222222,-0.03768116941403642,-1.549660175351151,3028320.61728395,3119.0,9,2118.3333333333335,0.6163121372505933,-1.4999999999999998,4725944.222222222,1056.0,3,2118.3333333333335,0.6163121372505933,-1.4999999999999998,4725944.222222222,1056.0,3,3118.0,0.0,-2.0,1096209.0,3118.0,2,38,0
